Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Οικονόμου Αθανασίου Βασίλειος,Οικονόμου,Οικονόμου Βασίλειος,ΝΔ,OikonomouVasili,3100514321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βλάχος Θεοδώρου Γεώργιος,Βλάχος,Βλάχος Γεώργιος,ΝΔ,Vlachos_G,900721825742807042,4867087780,2320654560,3935256472,709020316970971139,822432545946136576,755673702898003968,1095217634289831936,806936699259523073,751294589542203392,563558280,0,0,0,0,0,0,0,0,0
Βορίδης Χρήστου Μαυρουδής (Μάκης),Βορίδης,Βορίδης Μάκης,ΝΔ,MakisVoridis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπούρας Κωνσταντίνου Αθανάσιος,Μπούρας,Μπούρας Αθανάσιος,ΝΔ,athbouras,2976349222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κώτσηρας Αναστασίου Γεώργιος,Κώτσηρας,Κώτσηρας Γεώργιος,ΝΔ,giorgoskotsiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λιάκος Γεωργίου Ευάγγελος,Λιάκος,Λιάκος Ευάγγελος,ΝΔ,liakosev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λιβανός Διονυσίου Σπυρίδωνας-Παναγιώτης (Σπήλιος),Λιβανός,Λιβανός Σπήλιος,ΝΔ,SpiliosL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σαλμάς Γεωργίου Μάριος,Σαλμάς,Σαλμάς Μάριος,ΝΔ,salmasmarios,335179820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Καραγκούνης Ανδρέα Κωνσταντίνος,Καραγκούνης,Καραγκούνης Κωνσταντίνος,ΝΔ,k_karagounis,805151138,1223960620686548993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ανδριανός Σωτηρίου Ιωάννης,Ανδριανός,Ανδριανός Ιωάννης,ΝΔ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βλάσης Γεωργίου Κωνσταντίνος,Βλάσης,Βλάσης Κωνσταντίνος,ΝΔ,KostasVlasis,1264874893897863168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Στύλιος Δημοσθένη Γεώργιος,Στύλιος,Στύλιος Γεώργιος,ΝΔ,gstylios,74694195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αλεξοπούλου Μιχαήλ Χριστίνα,Αλεξοπούλου,Αλεξοπούλου Χριστίνα,ΝΔ,xrisalex,93629265,338320761,738676935732170752,793769618598924289,4824370169,895512106014998528,2213820452,0,0,0,0,0,0,0,0,0,0,0,0,0
Κατσανιώτης Ιωάννη Ανδρέας,Κατσανιώτης,Κατσανιώτης Ανδρέας,ΝΔ,katsaniotis,407091620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Τσιγκρής Αντωνίου Άγγελος,Τσιγκρής,Τσιγκρής Άγγελος,ΝΔ,tsigris_angelos,409149518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Φωτήλας Ασημάκη Ιάσων,Φωτήλας,Φωτήλας Ιάσων,ΝΔ,IasonFotilas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Κουτσούμπας Βασιλείου Ανδρέας,Κουτσούμπας,Κουτσούμπας Ανδρέας,ΝΔ,kutsubad,563969004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
