Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15,Result 16,Result 17,Result 18,Result 19,Result 20
Παφίλης Σπυρίδωνος Αθανάσιος,Παφίλης,Παφίλης Αθανάσιος,ΚΚΕ,,310473922,827499846,2576903572,1020617836673331201,729038656040804352,969166122766434304,993875789891407878,972610320186396672,714784556730159104,961939690898251776,1347222102,4184853617,1022448982549774336,993875350680752128,1339524558,3062732435,749599489636364288,780369644519653377,3244583175,937359352645767170
Στολτίδης Δημητρίου Λεωνίδας,Στολτίδης,Στολτίδης Λεωνίδας,ΚΚΕ,,2209363603,936178224635277312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Συντυχάκης Δανιήλ Εμμανουήλ,Συντυχάκης,Συντυχάκης Εμμανουήλ,ΚΚΕ,,911328112029335552,1143586146527694854,365131754,772115351760957440,875053105464975360,400266336,2761478325,0,0,0,0,0,0,0,0,0,0,0,0,0
Αδαμοπούλου Αθανασίου Αγγελική,Αδαμοπούλου,Αδαμοπούλου Αγγελική,ΜέΡΑ25,,773999374812737537,1327642480528019459,557692669,754913035,2798787203,3865336517,3030135455,2935295674,2570521218,3327005861,3111195370,731012272529772544,1143888447591079936,2242821724,464521251,2807986553,2851071580,2894655611,772878155858280448,715178265246363648
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,konstantinaada1,22345014,1321721724140998656,3177610664,598268808,479540450,610979331,2981721497,2960443539,617019247,2640603934,2603617384,1334411815,705568106198904832,794162996020969472,1218877483484950531,1231256057755901952,2232883652,4796790033,2269093603,4339470016
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,ApatzidiM,704686191178883072,712620528285184000,4900896520,712626613867905024,712618985074909184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,yanisvaroufakis,124690469,810059528746242052,1096861161352556544,793664090224807936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,GeorgeLogiadis,919269222542430213,921387355990306818,3105319463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,fbakadima,1163027060,4226126361,581866120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,karsenis,3131049376,215600165,1411181856,1352032508746063872,3471290735,1115296262570610691,4289909959,392017652,869290032368111616,4863634041,863455616429428736,918148714543316992,2832547343,928706484443197440,1325398061850505218,3063261093,4341509843,2966350931,4017123993,759681642399162368
