id,screen_name,category
4de75cb1fa7639614264c81b,AleaCafeBistro,Café
4deb8814d4c00071b83ecee1,tholosresort,Hotel
4dec7fb145dd3993a8bfdbf6,aldemar_resorts,Hotel
4deccad022713dd973ce2f17,MatziriSigns,Office
4decf5ff45dd64cbbd10c95c,OnarVillas,Bed & Breakfast
4dee44c8d22deb0316f264b1,AenaonVillas,Hotel
4df2010088772e1f814d699f,ObelixSantorini,Souvlaki Shop
4df25e297d8b18e1722ad400,PizzaFan_Tweet,Pizza Place
4df4d38e6284fefe8fc6f5ff,AvraBeachResort,Resort
4dfc7f5ca809d61e2fbffc49,iGeniusGr,Electronics Store
4dfcd5ab8877e9c4749416cd,StudiosLotos,Vacation Rental
4dff6a3945dd3320c882ec05,danairesort,Resort
4e00ca501838cb6a1acbd1b0,KiriniHotel,Hotel
4e01a1ae1495692a4bb983b5,Anatolia1886,High School
4e04381163653b7c0b3e5fbc,theoharidou,General College & University
4e05f2ad1f6e21103383153d,EllinikoThess,Meze Restaurant
4e073f8ad22d658532a49cf3,HotelMakarios,Hotel
4e077e8a8877394591e69bbb,PaliaPlaka,Greek Restaurant
4e0a2aa7483b98d417234bc4,artinweb,Tech Startup
4e0efba0d4c0f6d6b3ff3596,AtriumHotels,Hotel
4e145e09b0fb5dfdd07b0ab4,BazaarSm,Supermarket
4e171960a8090df1eca1d464,KykladesBar,Beach Bar
4e1735bf2271881f2053963b,SavoyRhodes,Hotel
4e189c2f2271b0e971fdf863,pkalamatianos,Seafood Restaurant
4e1c0e3f7d8bdabfd0fa2df8,EanosRestaurant,Greek Restaurant
4e1d7186d4c08930995ce2ce,stelakis_beach,Taverna
4e21898ec65b2b5e35474656,SundayResort,Hotel
4e29dca47d8b7deda6bf3b25,ochrebistro,Wine Bar
4e2a7d9b8877b69d49d5f31a,esperas_oia,Hotel
4e328d841f6e2137f93292ef,maisondeslys,Hotel
4e3291dd18a846d7ed088b6c,paphotels,Hotel
4e341b7418a8efdb17607f92,aida_de,Cruise Ship
4e39013ed4c046ee86b58830,MercedesBenz,Automotive Shop
4e390d7962e16ad099ee3763,MentaCafeBar,Wine Bar
4e3a67e4d164c429b72a19d6,petrinosuites,Hotel
4e40ed1418a875a006a6332d,KipriotisHotels,Hotel
4e4199512271cc7959682743,hotelorizontes,Hotel
4e4549d1b61c03d0ccfba316,LACOSTE,Clothing Store
4e4a8d747d8b3dcca35ba527,Petit_palace,Hotel
4e4b65396284a0b024b2b6e2,thekas79,Jewelry Store
4e4b966be4cde30b72851d83,ammosstores,Boutique
4e4d0d4362e1e5f4671e7bf0,h_responsibilus,Athletics & Sports
4e4d73c4c65be7ec3abbd99f,alexanderinngr,Hotel
4e5170c0d22daf51d2921531,Agnantia,Hotel
4e5266c53151e600e9155584,multirama_gr,Electronics Store
4e5387fdd22d7b9b656d91c5,Jourauthgr,College Communications Building
4e54c831d164a1ac2f38cc46,SixtGreece,Rental Car Location
4e563fd8227140cf12f1f096,BeautyStudioGR,Salon / Barbershop
4e567d2f52b12ddfc1e1ad06,Flamingo_Retail,Shopping Mall
4e57cc1aaeb7eff130d0b60b,venus_victoria,Lingerie Store
4e5912ce18388cd5cb9de55d,daleonardo,Italian Restaurant
4e5bdd1618a8c204752b1faf,CarlsbergGreece,Brewery
4e5c979ad22dcfc93416268e,benetton,Clothing Store
4e5d31d4fa76a4cf148ffd6e,Hotel_Thassos,Hotel
4e62043d8877954de8005e43,Hotelbluebay,Hotel
4e674f73ae609d64bcd25b54,Vicino_Risio,Café
4e725d41ae60854eea2aa717,diagonalgr,Dance Studio
4e73748652b145ffbf91ff51,profitisilias1,Church
4e76df6b1495be5171c0e362,argentobar,Café
4e78af56a809f5bf7326918d,NikoStudios,Bed & Breakfast
4e7c7934c65b16fe020212fc,Fit4All,Office
4e81a185b634415754ae4dce,Arcturosgr,Non-Profit
4e86d7f40cd6559825e6e541,greenfamilygr,Organic Grocery
4e8711062c5b5c22b07cd426,perissabay,Hotel
4e8d6262722e13d13ae029cc,TheBodyShopGR,Cosmetics Shop
4e8d67ea775bde318a7b2a7f,MACcosmetics,Cosmetics Shop
4e9033d230f81ec6ff600c52,chrisplanet,Clothing Store
4e92ca2dd22d95ed0d765fb3,pileahortiatis,City Hall
4e983d536c25f528605ddda9,EurognosiHQ,College Communications Building
4e98469d82310543d2591afe,concorde_gr,School
4e9fd5ee0039b2cba464a091,windhellas,Mobile Phone Shop
4ea2c61e8b81a02f89b7281d,VoiceEspresso,Café
4ea2e0ef99117fc56ca4a11d,bokaterina,Office
4ea528c3490102dac3bbb5d0,DraxisEnv,Office
4ea69f2777c831bd1949e6fa,samtommy,Doctor's Office
4eb6583f7ee5024d7f67f991,WomensagrCo,Café
4eb7b1f0d5fb442a6782dff2,terranovastyle,Clothing Store
4eb81fcda17cab6128685306,itservices_sa,Office
4ebfe6620cd6d2a16f4fcfa5,Villadespina,Bed & Breakfast
4ec8db5dd5fbfa048f3a3254,pastaspizzeria,Pizza Place
4ed0b0ae0e01f1a8802592ba,TEGames,Tech Startup
4ed3e34200391535cd253203,Scalaaparts,Hotel Bar
4ed4d43e61af8b867d0d4b30,TeitheLibrary,College Library
4ed78f14a17c6e17b5e53d06,ElectronetGr,Electronics Store
4ed797c5e5fabbd8a0689202,HRC_SAMARITES,Non-Profit
4ed8c530722e1da300322244,InfoKakiousis,Print Shop
4edb2c7e2c5b50ab9f8c3ce7,KalamariSchool,Middle School
4ee0dc9f7ee54945fe4817bd,makthes,Office
4ee1e3e7f9f47646d7a7a28a,alkis164,Office
4ee489f8e4b04d23e114a678,noufara,Music Venue
4ee8797330f83ed82ae840e8,TVCosmetics,Office
4ee89cebb6342cffb4ba80b6,egnatiatv,TV Station
4ee8f6c56da18ad5d591ea9b,HCoastGuard,Police Station
4ef2fad8c2ee7226a9fc8613,sgiannikis,Pharmacy
4ef4b52929c24e3536cebded,vitansa_,Yoga Studio
4ef4d0f60e011df7b95f2b80,AccessorizeGR,Accessories Store
4ef8e411c2ee9f84857973af,hausofmilo,Café
4efc0aef77c822653f08c538,PhysiomedMic,Medical Center
4f09f546e4b0c3ff857e6369,Athos_Taverna,Taverna
4f0b308ed5fbcc4f3df537ea,SisterBratz,Rest Area
4f168a3ae4b04b3f086036cd,NOPLANgr,Office
4f186bede4b0ebf9e4b105de,dimitrisplatis,Salon / Barbershop
4f19cbe6e5e8318974552ac8,Nespresso,Coffee Shop
4f1c43fce4b0f67a97969bfd,AeolosRentACar,General Travel
4f1d7766e4b0f271e8b6eb0f,Sakisxat,Café
4f22816e754aa9d40321c835,compulangr,Building
4f297a31e4b0f07a96369241,GymAndTonicGR,Gym / Fitness Center
4f2c0eede4b0aa4f6ce0e4d9,mikelccgr,Coffee Shop
4f316263e4b010a3c01e33a8,oxigono,Bookstore
4f375c9fe4b0f4cfde8fa0e6,smartsmokegr,Vape Store
4f3791234fc64328d5fb4551,kelyfos,Resort
4f3a5810e4b03d32df8dd5cc,StefaneGio,Men's Store
4f3d73efe4b02e31120ad011,TroisThessaloni,Nightclub
