ID,Twitter,Category
"4cc5e7a580624688b1f73e2f","sevenspot","General Entertainment"
"4cc7f3fe8c5b236ab73efc6d","alpha_bank","Bank"
"4cc96dc9d147a0934be1e6ae","goodyscom","Burger Joint"
"4ccdeb49511b236a022efac9","santorinigr","Port"
"4ccf1d6d063a721eddf69d9a","aegeanairlines","Plane"
"4cd26344158c5481a8d3aee4","dotsoftsa","Tech Startup"
"4cd41aeebaf2f04d9775b2a3","dana_weddings","Hotel"
"4cd900d01891236ab929390b","nyc_gr","University"
"4cda5ac6a1bba35da02e8ee5","novagreece","Electronics Store"
"4cda6d2f6ad1a09395fde556","iekdelta","Trade School"
"4ce1144c69136dcb6d23e7e6","sevenspot","Video Store"
"4ce273743644a093ca54629f","vodafone_gr","Mobile Phone Shop"
"4ce3762605f7a093ec9da028","coocafebar","Bar"
"4ce57c59023676eb370cebb9","karenmillen","Women's Store"
"4ce6fe0894daa090cbb01b29","neadiagonios","Greek Restaurant"
"4ce99d6fb5c35941e9e5698f","eurobank_group","Bank"
"4cf4cc3ecfb08eec1fbbf2be","winbank_tweets","Bank"
"4cf6b3e564e3721eedae22c8","sevenspot","Video Store"
"4cfa5a2920fe3704bdae4cf8","tigerhellas","Gift Shop"
"4cfe612b084f54813b399009","sevenspot","Video Store"
"4d012bde1ebe6dcbe0c58b91","napapijri","Clothing Store"
"4d09e97e86b0236ada8eb606","tommyhilfiger","Clothing Store"
"4d0a0bf95edd5481cb84039b","zara","Clothing Store"
"4d0f01f6c3dc3704bb423074","aegeanairlines","Plane"
"4d11c9d26360a35de59d8c88","nestoryannakis","Salon / Barbershop"
"4d12621c7a8ba1431cafc869","themethotel","Asian Restaurant"
"4d1288dad0fda0933395ac57","elgrecohotel","Hotel"
"4d12f625957fa1cd07f7719f","eurobank_group","Bank"
"4d1336fd2e583704e831ead1","jumbostores","Toy / Game Store"
"4d14a1e4e190721e60d10821","jumbostores","Toy / Game Store"
