Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,0,0,0,0,0,0,0,0
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,886723075,886723075,0,0,0,0,0,0
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,1149205366930071552,1149205366930071552,0,0,0,0,0,0
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,0,0,0,0,0,0,0,0
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,0,0,0,0,0,0,0,0
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,422814594,0,422814594,0,0,422814594,422814594,0
Πιπιλή Ανδρέα Φωτεινή,Πιπιλή,Πιπιλή Φωτεινή,ΝΔ,481393090,481393090,0,0,0,0,0,0
Μπογδάνος Σπυρίδωνος Κωνσταντίνος,Μπογδάνος,Μπογδάνος Κωνσταντίνος,ΝΔ,53439175,0,0,0,0,0,0,0
Κακλαμάνης Μιχαήλ Νικήτας,Κακλαμάνης,Κακλαμάνης Νικήτας,ΝΔ,72838721,72838721,36914138,0,0,0,0,0
Κεφαλογιάννη Ιωάννη Όλγα,Κεφαλογιάννη,Κεφαλογιάννη Όλγα,ΝΔ,2365419054,2365419054,2441261875,0,0,2441261875,0,0
Κικίλιας Παναγιώτη Βασίλειος,Κικίλιας,Κικίλιας Βασίλειος,ΝΔ,54283324,54283324,0,0,0,0,0,0
Πλεύρης Κωνσταντίνου Αθανάσιος,Πλεύρης,Πλεύρης Αθανάσιος,ΝΔ,112445908,112445908,0,0,0,0,0,0
Ράπτη Γεωργίου Ζωή,Ράπτη,Ράπτη Ζωή,ΝΔ,2443992852,0,0,0,0,0,0,0
Ρουσόπουλος Βασιλείου Θεόδωρος,Ρουσόπουλος,Ρουσόπουλος Θεόδωρος,ΝΔ,1735479950,0,0,0,0,0,0,0
Κουμουτσάκος Σπυρίδωνος Γεώργιος,Κουμουτσάκος,Κουμουτσάκος Γεώργιος,ΝΔ,633098410,633098410,0,0,0,0,0,0
Κεραμέως Κωνσταντίνου Νίκη,Κεραμέως,Κεραμέως Νίκη,ΝΔ,435737814,435737814,0,0,0,0,0,0
Καιρίδης Κωνσταντίνου Δημήτριος,Καιρίδης,Καιρίδης Δημήτριος,ΝΔ,2608056638,2608056638,0,0,0,0,0,0
Γεωργιάδης Αθανασίου Σπυρίδων - Άδωνις,Γεωργιάδης,Γεωργιάδης Άδωνις,ΝΔ,70340615,70340615,0,0,0,70340615,5763142,0
Χατζηδάκης Ιωάννη Κωνσταντίνος (Κωστής),Χατζηδάκης,Χατζηδάκης Κωστής,ΝΔ,434832879,434832879,0,0,0,0,0,0
Βαρβιτσιώτης Ιωάννη Μιλτιάδης,Βαρβιτσιώτης,Βαρβιτσιώτης Μιλτιάδης,ΝΔ,60591084,60591084,0,0,0,0,0,0
Λοβέρδος Πέτρου Ιωάννης - Μιχαήλ (Γιάννης),Λοβέρδος,Λοβέρδος Γιάννης,ΝΔ,2500320130,2500320130,225931853,0,0,0,0,0
Μητσοτάκης Κωνσταντίνου Κυριάκος,Μητσοτάκης,Μητσοτάκης Κυριάκος,ΝΔ,14283525,14283525,0,104298598,0,104298598,0,0
Κυρανάκης Ιωάννη - Παναγιώτη Κωνσταντίνος,Κυρανάκης,Κυρανάκης Κωνσταντίνος,ΝΔ,17132736,17132736,0,0,0,0,0,0
Παπαδημητρίου Αθανασίου Χαράλαμπος (Μπάμπης),Παπαδημητρίου,Παπαδημητρίου Μπάμπης,ΝΔ,48426854,0,0,48426854,0,962446921381154816,790638084643774464,0
Σπανάκης Νικολάου Βασίλειος - Πέτρος,Σπανάκης,Σπανάκης Πέτρος,ΝΔ,162448017,162448017,0,0,0,0,0,0
Δένδιας Σπυρίδωνος Νικόλαος - Γεώργιος,Δένδιας,Δένδιας Γεώργιος,ΝΔ,236744081,236744081,0,0,0,0,0,0
Βούλτεψη Ιωάννη Σοφία,Βούλτεψη,Βούλτεψη Σοφία,ΝΔ,404193258,0,0,0,0,0,0,0
Καλλιάνος Δημητρίου Ιωάννης,Καλλιάνος,Καλλιάνος Ιωάννης,ΝΔ,310780249,310780249,0,0,0,0,0,0
Καραμανλή Αρκαδίου Άννα,Καραμανλή,Καραμανλή Άννα,ΝΔ,478754813,1156609842888552448,0,0,0,0,0,0
Θεοχάρης Αθανασίου Θεοχάρης (Χάρης),Θεοχάρης,Θεοχάρης Χάρης,ΝΔ,107136186,107136186,0,0,0,0,0,0
Χατζηδάκης Διονυσίου Διονύσιος,Χατζηδάκης,Χατζηδάκης Διονύσιος,ΝΔ,0,434832879,0,0,0,0,0,0
Δούνια Δημητρίου Παναγιώτα (Νόνη),Δούνια,Δούνια Νόνη,ΝΔ,1141433832769503238,0,0,0,0,0,0,0
Κατσαφάδος Ιωάννη Κωνσταντίνος,Κατσαφάδος,Κατσαφάδος Κωνσταντίνος,ΝΔ,1382995979473928192,4862453039,370598533,0,0,0,0,0
Μπουτσικάκης Ιωάννη Χριστόφορος - Εμμανουήλ,Μπουτσικάκης,Μπουτσικάκης Εμμανουήλ,ΝΔ,849286834337271808,849286834337271808,0,0,0,0,0,0
Μελάς Παναγιώτη Ιωάννης,Μελάς,Μελάς Ιωάννης,ΝΔ,197613052,197613052,0,0,0,0,0,0
Μανωλάκος Πέτρου Νικόλαος,Μανωλάκος,Μανωλάκος Νικόλαος,ΝΔ,1246802753759952899,1246802753759952896,0,0,0,0,0,0
Μαρκόπουλος Κωνσταντίνου Δημήτριος,Μαρκόπουλος,Μαρκόπουλος Δημήτριος,ΝΔ,590082909,0,0,0,0,0,0,0
Τραγάκης Παναγιώτη Ιωάννης,Τραγάκης,Τραγάκης Ιωάννης,ΝΔ,0,0,0,0,0,0,0,0
Μαρτίνου Αθανασίου Γεωργία,Μαρτίνου,Μαρτίνου Γεωργία,ΝΔ,546281641,0,546281641,0,0,0,0,0
Οικονόμου Αθανασίου Βασίλειος,Οικονόμου,Οικονόμου Βασίλειος,ΝΔ,770226983657701377,0,770226983657701376,0,0,0,0,0
Βλάχος Θεοδώρου Γεώργιος,Βλάχος,Βλάχος Γεώργιος,ΝΔ,2613473180,0,0,0,0,0,0,0
Βορίδης Χρήστου Μαυρουδής (Μάκης),Βορίδης,Βορίδης Μάκης,ΝΔ,540179903,540179903,0,0,0,0,0,0
Μπούρας Κωνσταντίνου Αθανάσιος,Μπούρας,Μπούρας Αθανάσιος,ΝΔ,2976349222,0,0,2976349222,0,0,0,0
Κώτσηρας Αναστασίου Γεώργιος,Κώτσηρας,Κώτσηρας Γεώργιος,ΝΔ,2445790562,2445790562,0,0,0,0,0,0
Λιάκος Γεωργίου Ευάγγελος,Λιάκος,Λιάκος Ευάγγελος,ΝΔ,480344041,0,0,0,0,0,0,0
