Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Γκόκας Ναπολέοντα Χρήστος,Γκόκας,Γκόκας Χρήστος,ΚΙΝΑΛ,,@koutsoukosilia,,,,,,
Καμίνης Βασιλείου Γεώργιος,Καμίνης,Καμίνης Γεώργιος,ΚΙΝΑΛ,KaminisG,@KaminisG,@ParosMunicipal,,,,,
Καστανίδης Γεωργίου Χαράλαμπος,Καστανίδης,Καστανίδης Χαράλαμπος,ΚΙΝΑΛ,KastanidisHaris,,,,,,,
Κατρίνης Ιωάννη Μιχαήλ,Κατρίνης,Κατρίνης Μιχαήλ,ΚΙΝΑΛ,michaelkatrinis,@michaelkatrinis,@michaelkatrinis,,,,,
Κεγκέρογλου Αλεξάνδρου Βασίλειος,Κεγκέρογλου,Κεγκέρογλου Βασίλειος,ΚΙΝΑΛ,bkegeroglou,@BKegeroglou,,,,,,
Κεφαλίδου Δημητρίου Χαρούλα (Χαρά),Κεφαλίδου,Κεφαλίδου Χαρά,ΚΙΝΑΛ,xarakefalidou,,,,,,,
Κωνσταντινόπουλος Κωνσταντίνου Οδυσσέας,Κωνσταντινόπουλος,Κωνσταντινόπουλος Οδυσσέας,ΚΙΝΑΛ,Odysseas_,@Odysseas_,@Odysseas_,,,,,
Κωνσταντόπουλος Χρήστου Δημήτριος,Κωνσταντόπουλος,Κωνσταντόπουλος Δημήτριος,ΚΙΝΑΛ,dkonstantop,@dkonstantop,@alkon_Ltd,@ch1llys,,,,
Λιακούλη Θεοφάνη Ευαγγελία,Λιακούλη,Λιακούλη Ευαγγελία,ΚΙΝΑΛ,p1l1sulLrVED8tt,@KaminisG,,,,,,
Λοβέρδος Νικολάου Ανδρέας,Λοβέρδος,Λοβέρδος Ανδρέας,ΚΙΝΑΛ,a_loverdos,@a_loverdos,@YiannisLoverdos,@a_loverdos,,,,
Μουλκιώτης Βασιλείου Γεώργιος,Μουλκιώτης,Μουλκιώτης Γεώργιος,ΚΙΝΑΛ,GMoulkiotis,@GMoulkiotis,,,,,,
Μπαράν Νετζαντή Μπουρχάν,Μπαράν,Μπαράν Μπουρχάν,ΚΙΝΑΛ,BurhanBaranDr,,,,,,,
Μπιάγκης Σπυρίδωνος Δημήτριος,Μπιάγκης,Μπιάγκης Δημήτριος,ΚΙΝΑΛ,dimitrisbiagkis,@dimitrisbiagkis,,,,,,
Πανάς Νικολάου Απόστολος,Πανάς,Πανάς Απόστολος,ΚΙΝΑΛ,PanasApostolos,@PanasApostolos,@PanasApostolos,,,,,
