Name (Long),Surname,Name,Party,Twitter Handle,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7
Αδάμου Στεργίου Κωνσταντίνα,Αδάμου,Αδάμου Κωνσταντίνα,ΜέΡΑ25,konstantinaada1,@dradamosadamou,@DrMiaAdamou,@dradamosadamou,@adamssss1234,,,
Απατζίδη Κυρίλλου Μαρία,Απατζίδη,Απατζίδη Μαρία,ΜέΡΑ25,ApatzidiM,@mariaapatzidi,,,,,,
Βαρουφάκης Γεωργίου Ιωάννης (Γιάνης),Βαρουφάκης,Βαρουφάκης Γιάνης,ΜέΡΑ25,yanisvaroufakis,@yanisvaroufakis,@varoufakis_gr,@varoufakis_gr,@yanisvaroufakis,@yanisvaroufakis,,
Λογιάδης Σοφοκλή - Εμμανουήλ Γεώργιος,Λογιάδης,Λογιάδης Γεώργιος,ΜέΡΑ25,GeorgeLogiadis,@GeorgeLogiadis,,,,,,
Μπακαδήμα Αγαθοκλή Φωτεινή,Μπακαδήμα,Μπακαδήμα Φωτεινή,ΜέΡΑ25,fbakadima,@fbakadima,@fbakadima,,,,,
Αρσένης Δημοκράτη Κρίτων - Ηλίας,Αρσένης,Αρσένης Ηλίας,ΜέΡΑ25,karsenis,@karsenis,,,,,,
Γρηγοριάδης Γεωργίου Κλέων,Γρηγοριάδης,Γρηγοριάδης Κλέων,ΜέΡΑ25,,@grigdim,@ASGregoriades,@B7Yop23WEU580TI,@grigoriadis_gio,,,
Σακοράφα Ηλία Σοφία,Σακοράφα,Σακοράφα Σοφία,ΜέΡΑ25,SofiaSakorafa,@SofiaSakorafa,@SofiaSakorafa,,,,,
Γεραπετρίτης Βασιλείου Γεώργιος,Γεραπετρίτης,Γεραπετρίτης Γεώργιος,ΝΔ,,@mgerapetritis,@georgetrend,,,,,
Γιαννάκου Παναγιώτη Μαριορή (Μαριέττα),Γιαννάκου,Γιαννάκου Μαριέττα,ΝΔ,m_giannakou,@m_giannakou,,,,,,
Θεοδωρικάκος Δημητρίου Παναγιώτης (Τάκης),Θεοδωρικάκος,Θεοδωρικάκος Τάκης,ΝΔ,theodorikakosp,@theodorikakosp,,,,,,
Πικραμμένος Όθωνος Παναγιώτης,Πικραμμένος,Πικραμμένος Παναγιώτης,ΝΔ,,,,,,,,
Ταραντίλης Δημητρίου Χρήστος,Ταραντίλης,Ταραντίλης Χρήστος,ΝΔ,xtarantilis,,,,,,,
Συρίγος Ματθαίου Ευάγγελος (Άγγελος),Συρίγος,Συρίγος Άγγελος,ΝΔ,angelossyrigos,@GeoSyrigos,@AngelosSyrigos,@geosyrigos,@GeoSyrigos,@angelossyrigos,@AngelosSyrigos,
Πιπιλή Ανδρέα Φωτεινή,Πιπιλή,Πιπιλή Φωτεινή,ΝΔ,FotiniPipili,@FotiniPipili,@in,,,,,
Μπογδάνος Σπυρίδωνος Κωνσταντίνος,Μπογδάνος,Μπογδάνος Κωνσταντίνος,ΝΔ,bogdanosk,@bogdanosk,@constantinosbogdanos,@bogdanosk,@iliasbogdanos,,,
Κακλαμάνης Μιχαήλ Νικήτας,Κακλαμάνης,Κακλαμάνης Νικήτας,ΝΔ,NKaklamanis,@nkaklamanis,@nkaklamanis,@nkaklamanis,@neademokratia,,,
Κεφαλογιάννη Ιωάννη Όλγα,Κεφαλογιάννη,Κεφαλογιάννη Όλγα,ΝΔ,olgakef,@olgakef,@kefalogiannis_,@olgakef,@olgakefalogianni,@M_Kefalogiannis,,
Κικίλιας Παναγιώτη Βασίλειος,Κικίλιας,Κικίλιας Βασίλειος,ΝΔ,Vkikilias,@Vkikilias,@vkikilias,,,,,
Πλεύρης Κωνσταντίνου Αθανάσιος,Πλεύρης,Πλεύρης Αθανάσιος,ΝΔ,thanosplevris,@thanosplevris,@thanosplevris,@thanosplevris,@bogdanosk,,,
